ID,RUC UBB,COD_DISTRI,FECHA DELITO,HORA,HOUR,DIA,DIA SEMANA,MES,AÑO,LUGAR OCURRENCIA,SITIO SUCESO,DOMICILIO,TIPO_ARMA,DIR_DELITO,DIR_GEOCODIFICADA,LAT,LON,DELITO
42,RLH_2009_0007,3,2009-01-09 00:00:00,00:00:00,00,Friday,SABADO,January,2009,LUGAR HABITADO O DESTINADO A LA HABITACION Y SUS DEPENDENCIAS,VIVIENDA,LOS ZORZALES 7805,NO ESPECIFICADO,LOS ZORZALES 7805 HUALPEN CHILE,"LOS ZORZALES, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4300525, CHILE",-36.793982,-73.0810309,ROBO EN LUGAR HABITADO ART. 440
49,RCV_2009_0007,1,2009-01-10 00:00:00,00:00:00,00,Saturday,DOMINGO,January,2009,BIENES NACIONALES USO PUBLICO,VIA PUBLICA URBANA,RUMANIA CON POLONIA ,NO ESPECIFICADO,RUMANIA  HUALPEN CHILE,"RUMANIA, PADRE HURTADO, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600770, CHILE",-36.7835659,-73.1147127,ROBO CON VIOLENCIA. ART.436
60,RLH_2009_0009,2,2009-01-11 00:00:00,00:00:00,00,Sunday,LUNES,January,2009,LUGAR HABITADO O DESTINADO A LA HABITACION Y SUS DEPENDENCIAS,VIVIENDA,MILAN 1250,NO ESPECIFICADO,MILAN 1250 HUALPEN CHILE,"MILAN, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600770, CHILE",-36.7802185,-73.1005238,ROBO EN LUGAR HABITADO ART. 440
66,RCI_2009_0007,5,2009-01-12 00:00:00,00:00:00,00,Monday,MARTES,January,2009,BIENES NACIONALES USO PUBLICO,VIA PUBLICA URBANA,CHIPRE CON RECONQUISTA ,BLANCA,CHIPRE  HUALPEN CHILE,"CHIPRE, ALTO COSTANERA, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600770, CHILE",-36.7992025,-73.1041125,ROBO CON INTIMIDACION. ART. 433
79,RLNH_2009_0029,2,2009-01-14 00:00:00,00:00:00,00,Wednesday,JUEVES,January,2009,ESTABLECIMIENTO DE DIVERSION,CENTRALES DE APUESTAS,AV.GOLONDRINAS CON AV.COLON ,NO ESPECIFICADO,AV.GOLONDRINAS  HUALPEN CHILE,"AVENIDA LAS GOLONDRINAS, CONCEPCION, BIO-BIO 427, CHILE",-36.77988,-73.09908,ROBO EN LUGAR NO HABITADO. ART. 442
80,RBNUP_2009_0016,6,2009-01-14 00:00:00,00:00:00,00,Wednesday,JUEVES,January,2009,BIENES NACIONALES USO PUBLICO,VEHICULO EN VIA PUBLICA,LOS PINTORES 8782,NO ESPECIFICADO,LOS PINTORES 8782 HUALPEN CHILE,"LOS PINTORES, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600000, CHILE",-36.7978647,-73.0904639,ROBO EN BIENES NAC
81,RCV_2009_0010,1,2009-01-14 00:00:00,00:00:00,00,Wednesday,JUEVES,January,2009,BIENES NACIONALES USO PUBLICO,VIA PUBLICA URBANA,FINLANDIA CON HUNGRIA ,NO ESPECIFICADO,FINLANDIA  HUALPEN CHILE,"FINLANDIA, PADRE HURTADO, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600770, CHILE",-36.7865782,-73.1171039,ROBO CON VIOLENCIA. ART.436
82,RCV_2009_0011,5,2009-01-15 00:00:00,00:00:00,00,Thursday,VIERNES,January,2009,BIENES NACIONALES USO PUBLICO,VIA PUBLICA URBANA,ALTONA CON PATRIA VIEJA ,NO ESPECIFICADO,ALTONA  HUALPEN CHILE,"ALTONA, ALTO COSTANERA, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600770, CHILE",-36.7950305,-73.1017103,ROBO CON VIOLENCIA. ART.436
84,RLNH_2009_0030,1,2009-01-15 00:00:00,00:00:00,00,Thursday,VIERNES,January,2009,ESTABLECIMIENTO COMERCIAL,AUTOSERVICIO,FINLANDIA , ,FINLANDIA  HUALPEN CHILE,"FINLANDIA, PADRE HURTADO, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600770, CHILE",-36.7865782,-73.1171039,ROBO EN LUGAR NO HABITADO. ART. 442
85,RLH_2009_0015,6,2009-01-15 00:00:00,00:00:00,00,Thursday,VIERNES,January,2009,LUGAR HABITADO O DESTINADO A LA HABITACION Y SUS DEPENDENCIAS,VIVIENDA,JACK PRICE 9640,NO ESPECIFICADO,JACK PRICE 9640 HUALPEN CHILE,"PASAJE JACK PRICE, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4300525, CHILE",-36.8036954,-73.0828196,ROBO EN LUGAR HABITADO ART. 440
94,RPS_2009_0008,2,2009-01-17 00:00:00,00:00:00,00,Saturday,DOMINGO,January,2009,BIENES NACIONALES USO PUBLICO,VIA PUBLICA URBANA,CALLE FINLANDIA CON CALLE SUIZA ,NO ESPECIFICADO,CALLE FINLANDIA  HUALPEN CHILE,"FINLANDIA, PADRE HURTADO, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600770, CHILE",-36.7846193,-73.0991043,ROBO POR SORPRESA. ART. 436
95,RCI_2009_0011,5,2009-01-17 00:00:00,00:00:00,00,Saturday,DOMINGO,January,2009,BIENES NACIONALES USO PUBLICO,VIA PUBLICA URBANA,CALLE SAJONIA CON CALLE MUNICH ,BLANCA,CALLE SAJONIA  HUALPEN CHILE,"SAJONIA, ALTO COSTANERA, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600770, CHILE",-36.795213,-73.1056834,ROBO CON INTIMIDACION. ART. 433
96,RCV_2009_0013,1,2009-01-17 00:00:00,00:00:00,00,Saturday,DOMINGO,January,2009,BIENES NACIONALES USO PUBLICO,VIA PUBLICA URBANA,GRAN BRETAï¿½A CON FINLANDIA ,NO ESPECIFICADO,GRAN BRETAï¿½A  HUALPEN CHILE,"GRAN BRETAï¿½A, ALTO COSTANERA, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600770, CHILE",-36.802749,-73.105416,ROBO CON VIOLENCIA. ART.436
2316,RVM_2009_0076,1,2009-09-28 00:00:00,00:00:00,00,Monday,MARTES,September,2009,BIENES NACIONALES USO PUBLICO,VIA PUBLICA URBANA,CAMINO A LENGA CON FRENTE A LA PLAYA ,,CAMINO A LENGA  HUALPEN CHILE,"CAMINO A LENGA, CONCEPCION, BIO-BIO 412, CHILE",-36.76788,-73.13803,ROBO DE VEHICULO MOTORIZADO ART. 443
102,RLH_2009_0020,6,2009-01-18 00:00:00,00:00:00,00,Sunday,LUNES,January,2009,LUGAR HABITADO O DESTINADO A LA HABITACION Y SUS DEPENDENCIAS,VIVIENDA,LA RECONQUISTA 4510,NO ESPECIFICADO,LA RECONQUISTA 4510 HUALPEN CHILE,"LA RECONQUISTA, ALTO COSTANERA, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600000, CHILE",-36.7981102,-73.099802,ROBO EN LUGAR HABITADO ART. 440
103,RBNUP_2009_0019,1,2009-01-18 00:00:00,00:00:00,00,Sunday,LUNES,January,2009,BIENES NACIONALES USO PUBLICO,VEHICULO EN VIA PUBLICA,GRAN BRETAï¿½A 2890,MANOS Y PIES,GRAN BRETAï¿½A 2890 HUALPEN CHILE,"GRAN BRETAï¿½A, ALTO COSTANERA, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600770, CHILE",-36.8029242,-73.1051988,ROBO EN BIENES NAC
104,RLH_2009_0021,1,2009-01-18 00:00:00,00:00:00,00,Sunday,LUNES,January,2009,LUGAR HABITADO O DESTINADO A LA HABITACION Y SUS DEPENDENCIAS,VIVIENDA,PASAJE ROMA 2279,NO ESPECIFICADO,PASAJE ROMA 2279 HUALPEN CHILE,"PASAJE ROMA 2279, CONCEPCION, BIO-BIO 460, CHILE",-36.77875,-73.11391,ROBO EN LUGAR HABITADO ART. 440
105,RLH_2009_0022,5,2009-01-18 00:00:00,00:00:00,00,Sunday,LUNES,January,2009,LUGAR HABITADO O DESTINADO A LA HABITACION Y SUS DEPENDENCIAS,VIVIENDA,PASAJE NIZA 4473,NO ESPECIFICADO,PASAJE NIZA 4473 HUALPEN CHILE,"PASAJE NIZA, ALTO COSTANERA, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600770, CHILE",-36.7985033,-73.102895,ROBO EN LUGAR HABITADO ART. 440
106,RLNH_2009_0034,1,2009-01-18 00:00:00,00:00:00,00,Sunday,LUNES,January,2009,BIENES NACIONALES USO PUBLICO,VIA PUBLICA URBANA,CALLE 1 LOTE 10,CONTUNDENTE,CALLE 1 LOTE 10 HUALPEN CHILE,"CALLE 1, ALTO COSTANERA, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600770, CHILE",-36.7981646,-73.1093547,ROBO EN LUGAR NO HABITADO. ART. 442
107,RLNH_2009_0035,5,2009-01-18 00:00:00,00:00:00,00,Sunday,LUNES,January,2009,ESTABLECIMIENTO COMERCIAL,TIENDA COMERCIAL,PATRIA VIEJA 363,NO ESPECIFICADO,PATRIA VIEJA 363 HUALPEN CHILE,"PATRIA VIEJA, ALTO COSTANERA, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600770, CHILE",-36.7896398,-73.0979376,ROBO EN LUGAR NO HABITADO. ART. 442
109,RLH_2009_0023,1,2009-01-19 00:00:00,00:00:00,00,Monday,MARTES,January,2009,LUGAR HABITADO O DESTINADO A LA HABITACION Y SUS DEPENDENCIAS,VIVIENDA,CALLE CALMAR 2324,NO ESPECIFICADO,CALLE CALMAR 2324 HUALPEN CHILE,"CALMAR, PADRE HURTADO, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600770, CHILE",-36.7877765,-73.1106132,ROBO EN LUGAR HABITADO ART. 440
110,RLH_2009_0024,2,2009-01-19 00:00:00,00:00:00,00,Monday,MARTES,January,2009,LUGAR HABITADO O DESTINADO A LA HABITACION Y SUS DEPENDENCIAS,VIVIENDA,BRISTOL 2418,NO ESPECIFICADO,BRISTOL 2418 HUALPEN CHILE,"BRISTOL, PADRE HURTADO, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600770, CHILE",-36.7885338,-73.1085917,ROBO EN LUGAR HABITADO ART. 440
112,RPS_2009_0009,5,2009-01-19 00:00:00,00:00:00,00,Monday,MARTES,January,2009,BIENES NACIONALES USO PUBLICO,VIA PUBLICA URBANA,BREMEN CON AV.GRAN BRETAï¿½A ,NO ESPECIFICADO,BREMEN  HUALPEN CHILE,"BREMEN, ALTO COSTANERA, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600770, CHILE",-36.7955944,-73.0994482,ROBO POR SORPRESA. ART. 436
116,RPS_2009_0010,5,2009-01-20 00:00:00,00:00:00,00,Tuesday,MIERCOLES,January,2009,BIENES NACIONALES USO PUBLICO,VIA PUBLICA URBANA,MUNICH CON BREMEN ,NO ESPECIFICADO,MUNICH  HUALPEN CHILE,"MUNICH, ALTO COSTANERA, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600000, CHILE",-36.797914,-73.1054154,ROBO POR SORPRESA. ART. 436
117,RCV_2009_0014,5,2009-01-20 00:00:00,00:00:00,00,Tuesday,MIERCOLES,January,2009,BIENES NACIONALES USO PUBLICO,VIA PUBLICA URBANA,CALLE BENAVENTO CON CALLE ALTONA ,NO ESPECIFICADO,CALLE BENEVENTO  HUALPEN CHILE,"BENEVENTO, ALTO COSTANERA, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600770, CHILE",-36.7970454,-73.1008356,ROBO CON VIOLENCIA. ART.436
118,RCI_2009_0012,1,2009-01-20 00:00:00,00:00:00,00,Tuesday,MIERCOLES,January,2009,BIENES NACIONALES USO PUBLICO,VIA PUBLICA URBANA,GRAN BRETAï¿½A CON CALLE 2 ,MANOS Y PIES,GRAN BRETAï¿½A 2 HUALPEN CHILE,"GRAN BRETAï¿½A, ALTO COSTANERA, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600770, CHILE",-36.8065982,-73.1040829,ROBO CON INTIMIDACION. ART. 433
120,RLH_2009_0028,5,2009-01-20 00:00:00,00:00:00,00,Tuesday,MIERCOLES,January,2009,LUGAR HABITADO O DESTINADO A LA HABITACION Y SUS DEPENDENCIAS,VIVIENDA,CALLE CHIPRE 845,NO ESPECIFICADO,CALLE CHIPRE 845 HUALPEN CHILE,"CHIPRE, ALTO COSTANERA, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600770, CHILE",-36.7992025,-73.1041125,ROBO EN LUGAR HABITADO ART. 440
121,RLH_2009_0029,6,2009-01-20 00:00:00,00:00:00,00,Tuesday,MIERCOLES,January,2009,LUGAR HABITADO O DESTINADO A LA HABITACION Y SUS DEPENDENCIAS,VIVIENDA,PJE. PINTO 773,NO ESPECIFICADO,PASAJE PINTO 773 HUALPEN CHILE,"PASAJE PINTO, ALTO COSTANERA, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600000, CHILE",-36.8020582,-73.0981192,ROBO EN LUGAR HABITADO ART. 440
122,RLH_2009_0030,3,2009-01-21 00:00:00,00:00:00,00,Wednesday,JUEVES,January,2009,LUGAR HABITADO O DESTINADO A LA HABITACION Y SUS DEPENDENCIAS,VIVIENDA,COLON 8232, ,COLON 8232 HUALPEN CHILE,"COLEGIO CRISTOBAL COLON, CALLE POSTDAM, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600000, CHILE",-36.80078395,-73.08366451,ROBO EN LUGAR HABITADO ART. 440
125,RBNUP_2009_0022,4,2009-01-21 00:00:00,00:00:00,00,Wednesday,JUEVES,January,2009,BIENES NACIONALES USO PUBLICO,VEHICULO EN VIA PUBLICA,CHAITEN 8326,NO ESPECIFICADO,CHAITEN 8326 HUALPEN CHILE,"CHAITEN, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4300525, CHILE",-36.7942647,-73.0881327,ROBO EN BIENES NAC
129,RLH_2009_0033,2,2009-01-22 00:00:00,00:00:00,00,Thursday,VIERNES,January,2009,LUGAR HABITADO O DESTINADO A LA HABITACION Y SUS DEPENDENCIAS,VIVIENDA,FRANKFORD 4453,NO ESPECIFICADO,FRANKFORD 4453 HUALPEN CHILE,"PASAJE FRANKFORT, CONCEPCION, BIO-BIO, CHILE",-36.78545,-73.10051,ROBO EN LUGAR HABITADO ART. 440
130,RBNUP_2009_0023,2,2009-01-22 00:00:00,00:00:00,00,Thursday,VIERNES,January,2009,BIENES NACIONALES USO PUBLICO,VEHICULO EN VIA PUBLICA,MANCHESTER 1803,CONTUNDENTE,MANCHESTER 1803 HUALPEN CHILE,"MANCHESTER, PADRE HURTADO, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600770, CHILE",-36.778209,-73.1111673,ROBO EN BIENES NAC
132,RLH_2009_0034,6,2009-01-22 00:00:00,00:00:00,00,Thursday,VIERNES,January,2009,LUGAR HABITADO O DESTINADO A LA HABITACION Y SUS DEPENDENCIAS,VIVIENDA,MARTIN PINZON 9396,NO ESPECIFICADO,MARTIN PINZON 9396 HUALPEN CHILE,"PASAJE MARTIN PINZON 9396, CONCEPCION, BIO-BIO 460, CHILE",-36.80238,-73.08339,ROBO EN LUGAR HABITADO ART. 440
142,RCI_2009_0015,5,2009-01-23 00:00:00,00:00:00,00,Friday,SABADO,January,2009,BIENES NACIONALES USO PUBLICO,VIA PUBLICA URBANA,TOSCANIA CON PATRIA NUEVA ,NO ESPECIFICADO,TOSCANIA  HUALPEN CHILE,"TOSCANIA, ALTO COSTANERA, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600000, CHILE",-36.7929844,-73.0972512,ROBO CON INTIMIDACION. ART. 433
143,RLH_2009_0038,4,2009-01-23 00:00:00,00:00:00,00,Friday,SABADO,January,2009,LUGAR HABITADO O DESTINADO A LA HABITACION Y SUS DEPENDENCIAS,VIVIENDA,LLICO 98,MANOS Y PIES,LLICO 98 HUALPEN CHILE,"PASAJE LLICO 98, CONCEPCION, BIO-BIO 460, CHILE",-36.78752,-73.0878,ROBO EN LUGAR HABITADO ART. 440
144,RPS_2009_0011,5,2009-01-23 00:00:00,00:00:00,00,Friday,SABADO,January,2009,BIENES NACIONALES USO PUBLICO,VIA PUBLICA URBANA,ALEMANIA CON GRECIA ,NO ESPECIFICADO,ALEMANIA  HUALPEN CHILE,"ALEMANIA, ALTO COSTANERA, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600770, CHILE",-36.7950334,-73.1060074,ROBO POR SORPRESA. ART. 436
145,RLNH_2009_0043,2,2009-01-23 00:00:00,00:00:00,00,Friday,SABADO,January,2009,ORGANIZACION PUBLICA Y/O SOCIAL,CENTRO SOCIAL,BELGICA 1539,NO ESPECIFICADO,BELGICA 1539 HUALPEN CHILE,"BELGICA, PADRE HURTADO, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600770, CHILE",-36.7824015,-73.1073705,ROBO EN LUGAR NO HABITADO. ART. 442
146,RLH_2009_0039,1,2009-01-24 00:00:00,00:00:00,00,Saturday,DOMINGO,January,2009,LUGAR HABITADO O DESTINADO A LA HABITACION Y SUS DEPENDENCIAS,VIVIENDA,PASAJE 19 1108,MANOS Y PIES,PASAJE 19 1108 HUALPEN CHILE,"PASAJE 19, ALTO COSTANERA, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600770, CHILE",-36.7972922,-73.1091666,ROBO EN LUGAR HABITADO ART. 440
150,RLH_2009_0040,6,2009-01-24 00:00:00,00:00:00,00,Saturday,DOMINGO,January,2009,LUGAR HABITADO O DESTINADO A LA HABITACION Y SUS DEPENDENCIAS,VIVIENDA,COELEMU 667,NO ESPECIFICADO,COELEMU 667 HUALPEN CHILE,"PASAJE COELEMU, CONCEPCION, BIO-BIO 408, CHILE",-36.80207,-73.09948,ROBO EN LUGAR HABITADO ART. 440
152,RLH_2009_0041,3,2009-01-24 00:00:00,00:00:00,00,Saturday,DOMINGO,January,2009,LUGAR HABITADO O DESTINADO A LA HABITACION Y SUS DEPENDENCIAS,VIVIENDA,SAN VALENTIN 411,NO ESPECIFICADO,SAN VALENTIN 411 HUALPEN CHILE,"PASAJE SAN VALENTIN 411, CONCEPCION, BIO-BIO 460, CHILE",-36.78893,-73.08204,ROBO EN LUGAR HABITADO ART. 440
162,RLH_2009_0044,6,2009-01-26 00:00:00,00:00:00,00,Monday,MARTES,January,2009,LUGAR HABITADO O DESTINADO A LA HABITACION Y SUS DEPENDENCIAS,VIVIENDA,ANTILHUE 9128,,ANTILHUE 9128 HUALPEN CHILE,"ANTILHUE, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600000, CHILE",-36.8036678,-73.0869515,ROBO EN LUGAR HABITADO ART. 440
167,RBNUP_2009_0026,6,2009-01-26 00:00:00,00:00:00,00,Monday,MARTES,January,2009,BIENES NACIONALES USO PUBLICO,VEHICULO EN VIA PUBLICA,RECONQUISTA CON RAMADILLA ,NO ESPECIFICADO,RECONQUISTA  HUALPEN CHILE,"LA RECONQUISTA, ALTO COSTANERA, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600000, CHILE",-36.7981102,-73.099802,ROBO EN BIENES NAC
168,RCI_2009_0016,4,2009-01-26 00:00:00,00:00:00,00,Monday,MARTES,January,2009,BIENES NACIONALES USO PUBLICO,VIA PUBLICA URBANA,CORRAL CON CARAMPANGUE ,NO ESPECIFICADO,CORRAL  HUALPEN CHILE,"CORRAL, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600000, CHILE",-36.7953435,-73.093453,ROBO CON INTIMIDACION. ART. 433
169,RCI_2009_0017,2,2009-01-26 00:00:00,00:00:00,00,Monday,MARTES,January,2009,BIENES NACIONALES USO PUBLICO,VEHICULO EN VIA PUBLICA,AV. GOLONDRINA CON COLON ,FUEGO,AVENIDA GOLONDRINA  HUALPEN CHILE,"AVENIDA LAS GOLONDRINAS, CONCEPCION, BIO-BIO 427, CHILE",-36.77988,-73.09908,ROBO CON INTIMIDACION. ART. 433
172,RLH_2009_0046,5,2009-01-27 00:00:00,00:00:00,00,Tuesday,MIERCOLES,January,2009,LUGAR HABITADO O DESTINADO A LA HABITACION Y SUS DEPENDENCIAS,VIVIENDA,TOSCANIA CON AV. RECONQUISTA ,,TOSCANIA  HUALPEN CHILE,"TOSCANIA, ALTO COSTANERA, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600000, CHILE",-36.7929844,-73.0972512,ROBO EN LUGAR HABITADO ART. 440
177,RLH_2009_0048,6,2009-01-27 00:00:00,00:00:00,00,Tuesday,MIERCOLES,January,2009,LUGAR HABITADO O DESTINADO A LA HABITACION Y SUS DEPENDENCIAS,VIVIENDA,AV. COLON ,NO ESPECIFICADO,AVENIDA COLON  HUALPEN CHILE,"AVENIDA COLON, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4030177, CHILE",-36.8060713,-73.0794928,ROBO EN LUGAR HABITADO ART. 440
186,RPS_2009_0016,5,2009-01-28 00:00:00,00:00:00,00,Wednesday,JUEVES,January,2009,BIENES NACIONALES USO PUBLICO,VIA PUBLICA URBANA,BREMEN CON MUNICH ,NO ESPECIFICADO,BREMEN  HUALPEN CHILE,"BREMEN, ALTO COSTANERA, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600770, CHILE",-36.7955944,-73.0994482,ROBO POR SORPRESA. ART. 436
187,RLH_2009_0051,2,2009-01-28 00:00:00,00:00:00,00,Wednesday,JUEVES,January,2009,LUGAR HABITADO O DESTINADO A LA HABITACION Y SUS DEPENDENCIAS,VIVIENDA,BRISTOL 2804,NO ESPECIFICADO,BRISTOL 2804 HUALPEN CHILE,"BRISTOL, PADRE HURTADO, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600770, CHILE",-36.7857235,-73.1088846,ROBO EN LUGAR HABITADO ART. 440
