codigo_aeropuerto;nombre;latitud;longitud;altura;zona_horaria;horario_verano;zona_horaria_iana
2G9;Somerset County Airport;400.388.708;-790.149.951;2275;-5;A;America/New_York
2H0;Shelby County Airport;39.410.556;-88.845.556;550;-6;A;America/Chicago
2J9;Quincy Municipal Airport;305.978.708;-84.557.425;225;-5;A;America/New_York
369;Atmautluak Airport;60.866.667;-162.273.056;18;-9;A;America/Anchorage
36U;Heber City Municipal Airport;404.818.056;-1.114.288.056;5637;-7;A;America/Denver
38W;Lynden Airport;489.558.961;-1.224.581.183;106;-8;A;America/Los_Angeles
3D2;Ephraim-Gibraltar Airport;451.354.167;-871.879.444;773;-6;A;America/Chicago
3G3;Wadsworth Municipal;410.031.572;-817.564.401;974;-5;A;America/New_York
3G4;Ashland County Airport;409.029.722;-822.556.389;1206;-5;A;America/New_York
3J1;Ridgeland Airport;324.934.167;-8.099.175;79;-5;A;America/New_York
3W2;Put-in-Bay Airport;413.521;-82.497;595;-5;A;America/New_York
40J;Perry-Foley Airport;300.692.778;-835.805.833;44;-5;A;America/New_York
41N;Braceville Airport;412.111.675;-809.692.572;900;-5;A;America/New_York
47A;Cherokee County Airport;343.122.175;-844.221.556;1219;-5;A;America/New_York
49A;Gilmer County Airport;346.282.222;-845.265.833;1486;-5;A;America/New_York
49X;Chemehuevi Valley;34.528.889;-114.431.971;638;-8;A;America/Los_Angeles
4A4;Polk County Airport - Cornelius Moore Field;340.186.944;-851.464.722;974;-5;A;America/New_York
4A7;Clayton County Tara Field;33.389.099;-84.332.397;874;-5;A;America/New_York
4A9;Isbell Field Airport;344.736.944;-857.213.889;877;-6;A;America/Chicago
4B8;Robertson Field;416.893.333;-728.646.944;202;-5;A;America/New_York
4G0;Pittsburgh-Monroeville Airport;404.526.389;-797.749.167;1187;-5;A;America/New_York
4G2;Hamburg Inc Airport;427.008.925;-789.147.569;751;-5;A;America/New_York
4G4;Youngstown Elser Metro Airport;409.617.953;-806.773.264;1070;-5;A;America/New_York
4I7;Putnam County Airport;396.335.556;-868.138.056;842;-5;U;America/New_York
4U9;Dell Flight Strip;447.357.483;-1.127.200.133;6007;-7;A;America/Denver
52A;Madison GA Municipal Airport;33.612.125;-834.604.444;694;-5;A;America/New_York
54J;DeFuniak Springs Airport;307.311.111;-861.537.778;289;-6;A;America/Chicago
55J;Fernandina Beach Municipal Airport;306.118.333;-814.611.944;16;-5;A;America/New_York
55S;Packwood;463.625;-1.214.067;1057;-8;A;America/Los_Angeles
57C;East Troy Municipal Airport;427.971.667;-883.726.111;860;-6;A;America/Chicago
5B2;Saratoga County Airport;43.050.722;-73.861.638;433;-5;A;America/New_York
60J;Ocean Isle Beach Airport;339.085.056;-784.366.722;32;-5;U;America/New_York
6A2;Griffin-Spalding County Airport;332.269.722;-842.749.444;958;-5;A;America/New_York
6J4;Saluda County;335.561;-814.768;539;-5;A;America/New_York
6K8;Tok Junction Airport;63.329.444;-142.953.611;1639;-9;A;America/Anchorage
6S0;Big Timber Airport;458.063.889;-1.099.811.111;4492;-7;A;America/Denver
6S2;Florence;439.828.168;-1.241.113.687;51;-8;A;America/Los_Angeles
6Y8;Welke Airport;45.721.111;-85.520.278;664;-5;A;America/New_York
70J;Cairo-Grady County Airport;308.879.767;-841.547.353;265;-5;A;America/New_York
70N;Spring Hill Airport;413.473.569;-754.158.972;1729;-5;A;America/New_York
7A4;Foster Field;424.664.444;-901.693.889;990;-6;A;America/Chicago
7D9;Germack Airport;417.778.322;-809.039.797;820;-5;A;America/New_York
7N7;Spitfire Aerodrome;397.355.633;-753.977.211;40;-5;A;America/New_York
8M8;Garland Airport;448.065.278;-842.761.944;1218;-5;A;America/New_York
93C;Richland Airport;432.833.575;-902.982.819;742;-6;A;America/Chicago
99N;Bamberg County Airport;333.045.278;-811.084.167;231;-5;A;America/New_York
9A1;Covington Municipal Airport;336.323.083;-838.474.472;809;-5;A;America/New_York
9A5;Barwick Lafayette Airport;346.884.792;-852.903.319;777;-5;A;America/New_York
9G1;Rock Airport;406.035.463;-798.261.189;1063;-5;A;America/New_York
A39;Phoenix Regional Airport;3.299.169.921.875;-111.920.997.619.629;1300;-7;A;America/Phoenix
A50;Colorado Springs East;38.87;-104.41;6145;-7;A;America/Denver
AAF;Apalachicola Regional Airport;297.276.066;-850.274.416;20;-5;A;America/New_York
AAP;Andrau Airport;29.43;-95.35;80;-6;A;America/Chicago
ABE;Lehigh Valley Intl;40.652.083;-75.440.806;393;-5;A;America/New_York
ABI;Abilene Rgnl;32.411.319;-99.681.897;1791;-6;A;America/Chicago
ABL;Ambler Airport;67.106.389;-1.578.575;334;-9;A;America/Anchorage
ABQ;Albuquerque International Sunport;350.402.222;-1.066.091.944;5355;-7;A;America/Denver
ABR;Aberdeen Regional Airport;454.491;-984.218;1302;-6;A;America/Chicago
ABY;Southwest Georgia Regional Airport;315.355;-841.945;197;-5;A;America/New_York
ACJ;Jimmy Carter Regional;320.665;-841.133;468;-5;A;America/New_York
ACK;Nantucket Mem;41.253.053;-70.060.181;48;-5;A;America/New_York
ACT;Waco Rgnl;31.611.289;-97.230.519;516;-6;A;America/Chicago
ACV;Arcata;40.978.111;-124.108.611;221;-8;A;America/Los_Angeles
ACY;Atlantic City Intl;39.457.583;-74.577.167;75;-5;A;America/New_York
ADK;Adak Airport;51.878;-176.646;18;-9;A;America/Anchorage
ADM;Ardmore Muni;34.300.833;-97.008.889;762;-6;A;America/Chicago
ADQ;Kodiak;57.749.967;-152.493.856;78;-9;A;America/Anchorage
ADS;Addison;329.685.594;-968.364.478;644;-6;A;America/Chicago
ADW;Andrews Afb;38.810.806;-76.867.028;280;-5;A;America/New_York
AET;Allakaket Airport;665.519;-1.526.222;441;-9;A;America/Anchorage
AEX;Alexandria Intl;313.274;-92.549.833;89;-6;A;America/Chicago
AFE;Kake Airport;56.961.389;-133.910.278;172;-9;A;America/Anchorage
AFW;Fort Worth Alliance Airport;32.987.778;-97.318.889;722;-6;A;America/Chicago
AGC;Allegheny County Airport;403.544;-799.302;1252;-5;A;America/New_York
AGN;Angoon Seaplane Base;57.503.611;-134.585;0;-9;A;America/Anchorage
AGS;Augusta Rgnl At Bush Fld;33.369.944;-819.645;144;-5;A;America/New_York
AHN;Athens Ben Epps Airport;339.486;-833.263;808;-5;A;America/New_York
AIA;Alliance Municipal Airport;42.053.333;-102.803.889;3931;-7;A;America/Denver
AIK;Municipal Airport;336.493.889;-816.850.278;529;-5;A;America/New_York
AIN;Wainwright Airport;70.638.056;-159.994.722;41;-9;A;America/Anchorage
AIZ;Lee C Fine Memorial Airport;38.096.035;-925.494.875;869;-6;A;America/Chicago
AKB;Atka Airport;52.220.278;-174.206.389;56;-9;A;America/Anchorage
AKC;Akron Fulton Intl;410.375;-81.466.917;1067;-5;A;America/New_York
AKI;Akiak Airport;60.902.778;-161.230.556;30;-9;A;America/Anchorage
AKK;Akhiok Airport;56.938.611;-1.541.825;44;-9;A;America/Anchorage
AKN;King Salmon;58.676.778;-156.649.278;68;-9;A;America/Anchorage
AKP;Anaktuvuk Pass Airport;681.336;-151.743;2103;-9;A;America/Anchorage
ALB;Albany Intl;42.748.267;-73.801.692;285;-5;A;America/New_York
ALI;Alice Intl;27.740.889;-98.026.944;178;-6;A;America/Chicago
ALM;Alamogordo White Sands Regional Airport;328.399;-105.991;4200;-7;A;America/Denver
ALO;Waterloo Regional Airport;425.571;-924.003;873;-6;A;America/Chicago
ALS;San Luis Valley Regional Airport;37.435;-105.866.667;7539;-7;A;America/Denver
ALW;Walla Walla Regional Airport;460.949;-118.288;1191;-8;A;America/Los_Angeles
ALX;Alexandria;38.806.346;-770.621;1;-5;A;America/New_York
ALZ;Alitak Seaplane Base;56.899.444;-154.247.778;0;-9;A;America/Anchorage
AMA;Rick Husband Amarillo Intl;35.219.369;-101.705.931;3607;-6;A;America/Chicago
ANB;Anniston Metro;33.588.167;-85.858.111;612;-6;A;America/Chicago
ANC;Ted Stevens Anchorage Intl;61.174.361;-149.996.361;152;-9;A;America/Anchorage
AND;Anderson Rgnl;34.494.583;-82.709.389;782;-5;A;America/New_York
ANI;Aniak Airport;615.816;-159.543;88;-9;A;America/Anchorage
ANN;Annette Island;55.042.436;-131.572.233;119;-9;A;America/Anchorage
ANP;Lee Airport;38.942.778;-76.568.333;34;-5;A;America/New_York
ANQ;Tri-State Steuben County Airport;416.396.983;-850.834.933;995;-5;A;America/New_York
ANV;Anvik Airport;626.467;-160.191;309;-9;A;America/Anchorage
AOH;Lima Allen County Airport;40.707.478;-840.270.781;975;-5;A;America/New_York
AOO;Altoona Blair Co;40.296.372;-78.320.022;1504;-5;A;America/New_York
AOS;Amook Bay Seaplane Base;57.471.389;-153.815.278;0;-9;A;America/Anchorage
APA;Centennial;39.570.129;-104.849.294;5883;-7;A;America/Denver
APC;Napa County Airport;382.131.944;-1.222.806.944;35;-8;A;America/Los_Angeles
APF;Naples Muni;26.152.619;-81.775.294;8;-5;A;America/New_York
APG;Phillips Aaf;39.466.219;-76.168.808;57;-5;A;America/New_York
APN;Alpena County Regional Airport;450.781;-835.603;689;-5;A;America/New_York
AQC;Klawock Seaplane Base;55.554.658;-133.101.693;0;-9;A;America/Anchorage
ARA;Acadiana Rgnl;30.037.758;-91.883.896;24;-6;A;America/Chicago
ARB;Ann Arbor Municipal Airport;42.132.274;-83.444.418;839;-5;A;America/New_York
ARC;Arctic Village Airport;681.147;-145.579;2092;-9;A;America/Anchorage
ART;Watertown Intl;43.991.922;-76.021.739;325;-5;A;America/New_York
ARV;Lakeland;45.927.778.000.000.000;-89.730.833;1629;-6;A;America/Chicago
ASE;Aspen Pitkin County Sardy Field;392.232;-106.869;7820;-7;A;America/Denver
ASH;Boire Field Airport;4.278.175;-715.147.778;199;-5;A;America/New_York
AST;Astoria Regional Airport;46.157.972;-123.878.694;15;-8;A;America/Los_Angeles
ATK;Atqasuk Edward Burnell Sr Memorial Airport;704.673;-157.436;96;-9;A;America/Anchorage
ATL;Hartsfield Jackson Atlanta Intl;33.636.719;-84.428.067;1026;-5;A;America/New_York
ATT;Camp Mabry Austin City;3.031.666;-977.666;0;-6;A;America/Chicago
ATW;Appleton;44.257.526;-88.507.576;680;-6;A;America/Chicago
ATY;Watertown Regional Airport;44.914;-971.547;1748;-6;A;America/Chicago
AUG;Augusta State;44.320.647;-69.797.317;352;-5;A;America/New_York
AUK;Alakanuk Airport;62.68;-164.66;10;-9;A;America/Anchorage
AUO;Auburn University Regional;323.691;-852.604;777;-6;A;America/Chicago
AUS;Austin Bergstrom Intl;30.194.528;-97.669.889;542;-6;A;America/Chicago
AUW;Wausau Downtown Airport;449.262.845;-896.270.018;1201;-6;U;America/Chicago
AVL;Asheville Regional Airport;35.436.194;-82.541.806;2165;-5;A;America/New_York
AVO;Executive;27.591.389;-81.528.889;160;-5;A;America/New_York
AVP;Wilkes Barre Scranton Intl;41.338.478;-75.723.403;962;-5;A;America/New_York
AVW;Marana Regional;32.409.556;-111.218.388;2031;-7;U;America/Phoenix
AVX;Avalon;33.405;-118.415.833;1602;-8;A;America/Los_Angeles
AZA;Phoenix-Mesa Gateway;33.307.833;-111.655;1382;-7;N;America/Phoenix
AZO;Kalamazoo;42.234.875;-85.552.058;874;-5;A;America/New_York
BAB;Beale Afb;39.136.089;-121.436.567;113;-8;A;America/Los_Angeles
BAD;Barksdale Afb;3.250.182;-93.662.674;166;-6;A;America/Chicago
BAF;Barnes Municipal;421.579.472;-72.715.875;270;-5;A;America/New_York
BBX;Wings Field;401.375;-75.265;302;-5;A;America/New_York
BCE;Bryce Canyon;37.706.444;-112.145.806;7590;-7;A;America/Denver
BCT;Boca Raton;263.785;-80.107.694;13;-5;A;America/New_York
BDE;Baudette Intl;48.728.444;-94.612.222;1086;-6;A;America/Chicago
BDL;Bradley Intl;41.938.889;-72.683.222;173;-5;A;America/New_York
BDR;Igor I Sikorsky Mem;41.163.472;-73.126.167;9;-5;A;America/New_York
BEC;Beech Factory Airport;376.939.167;-972.149.167;1409;-6;A;America/Chicago
BED;Laurence G Hanscom Fld;42.469.953;-71.289.031;133;-5;A;America/New_York
BEH;Southwest Michigan Regional Airport;421.285.833;-864.285;643;-5;A;America/New_York
BET;Bethel;60.779.778;-161.838;121;-9;A;America/Anchorage
BFD;Bradford Regional Airport;418.031;-786.401;2143;-5;A;America/New_York
BFF;Western Nebraska Regional Airport;41.874;-103.596;3967;-7;A;America/Denver
BFI;Boeing Fld King Co Intl;47.53;-122.301.947;21;-8;A;America/Los_Angeles
BFL;Meadows Fld;35.433.598;-11.905.677;507;-8;A;America/Los_Angeles
BFM;Mobile Downtown;30.626.783;-88.068.092;26;-6;A;America/Chicago
BFP;Beaver Falls;407.724.722;-803.914.444;1253;-5;A;America/New_York
BFT;Beaufort;32.477.411;-80.723.161;37;-5;A;America/New_York
BGE;Decatur County Industrial Air Park;309.715.981;-846.369.278;141;-5;A;America/New_York
BGM;Greater Binghamton Edwin A Link Fld;42.208.689;-75.979.839;1636;-5;A;America/New_York
BGR;Bangor Intl;44.807.444;-68.828.139;192;-5;A;America/New_York
BHB;Hancock County - Bar Harbor;444.497.689;-683.615.653;83;-5;A;America/New_York
BHM;Birmingham Intl;33.562.942;-8.675.355;644;-6;A;America/Chicago
BID;Block Island State Airport;41.168.056;-71.577.778;108;-5;A;America/New_York
BIF;Biggs Aaf;31.849.528;-106.380.039;3948;-7;A;America/Denver
BIG;Allen Aaf;63.994.547;-145.721.642;1291;-9;A;America/Anchorage
BIL;Billings Logan International Airport;4.580.921;-108.537.654;3652;-7;A;America/Denver
BIS;Bismarck Municipal Airport;46.775.842;-100.757.931;1661;-6;A;America/Chicago
BIV;Tulip City Airport;427.427.778;-861.078.333;698;-5;A;America/New_York
BIX;Keesler Afb;30.410.425;-88.924.433;33;-6;A;America/Chicago
BJC;Rocky Mountain Metropolitan Airport;3.990.888.888;-10.511.722.222;5670;-7;A;America/Denver
BJI;Bemidji Regional Airport;47.510.722;-94.934.722;1391;-6;A;America/Chicago
BKC;Buckland Airport;65.981.667;-161.149.167;31;-9;A;America/Anchorage
BKD;Stephens Co;32.719.047;-98.891;1284;-6;A;America/Chicago
BKF;Buckley Afb;39.701.668;-10.475.166;5662;-7;A;America/Denver
BKG;Branson LLC;36.531.994;-93.200.556;1302;-6;A;America/Chicago
BKH;Barking Sands Pmrf;22.022.833;-159.785;23;-10;A;Pacific/Honolulu
BKL;Burke Lakefront Airport;415.175;-81.683.333;583;-5;A;America/New_York
BKW;Raleigh County Memorial Airport;377.873;-811.242;2504;-5;A;America/New_York
BKX;Brookings Regional Airport;443.048;-968.169;1648;-6;A;America/Chicago
BLD;Boulder City Municipal Airport;355.651;-114.514;2201;-7;U;America/Phoenix
BLF;Mercer County Airport;372.958;-812.077;2857;-5;A;America/New_York
BLH;Blythe Airport;33.619.167;-114.716.889;399;-8;A;America/Los_Angeles
BLI;Bellingham Intl;48.792.694;-122.537.528;170;-8;A;America/Los_Angeles
BLV;Scott Afb Midamerica;38.545.178;-89.835.183;459;-6;A;America/Chicago
BMC;Brigham City;41.552;-112.062;4229;-7;A;America/Denver
BMG;Monroe County Airport;391.460.208;-866.166.805;846;-5;A;America/New_York
BMI;Central Illinois Rgnl;40.477.111;-88.915.917;871;-6;A;America/Chicago
BMT;Beaumont Municipal;300.702.044;-942.150.967;32;-6;A;America/Chicago
BMX;Big Mountain Afs;59.361.247;-155.258.822;663;-9;A;America/Anchorage
BNA;Nashville Intl;36.124.472;-86.678.194;599;-6;A;America/Chicago
BOI;Boise Air Terminal;43.564.361;-116.222.861;2871;-7;A;America/Denver
BOS;General Edward Lawrence Logan Intl;42.364.347;-71.005.181;19;-5;A;America/New_York
BOW;Bartow Municipal Airport;279.434;-817.834;125;-5;U;America/New_York
BPT;Southeast Texas Rgnl;29.950.833;-94.020.694;15;-6;A;America/Chicago
BQK;Brunswick Golden Isles Airport;312.588;-814.665;26;-5;A;America/New_York
BRD;Brainerd Lakes Rgnl;46.398.308;-94.138.078;1226;-6;U;America/Chicago
BRL;Southeast Iowa Regional Airport;407.832;-911.255;698;-6;A;America/Chicago
BRO;Brownsville South Padre Island Intl;25.906.833;-97.425.861;22;-6;A;America/Chicago
BRW;Wiley Post Will Rogers Mem;71.285.446;-156.766.003;44;-9;A;America/Anchorage
BSF;Bradshaw Aaf;19.760.056;-155.553.717;6190;-10;A;Pacific/Honolulu
BTI;Barter Island Lrrs;70.133.989;-143.581.867;2;-9;A;America/Anchorage
BTM;Bert Mooney Airport;45.954.806;-112.497.472;5550;-7;A;America/Denver
BTR;Baton Rouge Metro Ryan Fld;30.533.167;-91.149.639;70;-6;A;America/Chicago
BTT;Bettles;66.913.944;-151.529.056;644;-9;A;America/Anchorage
BTV;Burlington Intl;44.471.861;-73.153.278;335;-5;A;America/New_York
BUF;Buffalo Niagara Intl;42.940.525;-78.732.167;724;-5;A;America/New_York
BUR;Bob Hope;34.200.667;-118.358.667;778;-8;A;America/Los_Angeles
BUU;Municipal Airport;426.907.171;-883.046.825;780;-6;A;America/Chicago
BUY;Burlington-Alamance Regional Airport;360.485.433;-794.748.892;617;-5;A;America/New_York
BVY;Beverly Municipal Airport;42.584.141;-709.161.444;107;-5;A;America/New_York
BWD;KBWD;317.936.111;-989.565;1387;-6;A;America/Chicago
BWG;Bowling Green-Warren County Regional Airport;369.645.278;-864.196.667;547;-6;A;America/Chicago
BWI;Baltimore Washington Intl;39.175.361;-76.668.333;146;-5;A;America/New_York
BXK;Buckeye Municipal Airport;33.420.417;-11.268.618;1033;-7;U;America/Phoenix
BXS;Borrego Valley Airport;332.590.278;-1.163.209.722;520;-8;A;America/Los_Angeles
BYH;Arkansas Intl;35.964.347;-89.943.956;254;-6;A;America/Chicago
BYS;Bicycle Lake Aaf;35.280.531;-116.630.031;2350;-8;A;America/Los_Angeles
BYW;Blakely Island Airport;4.856.025;-12.280.243;0;-8;A;America/Los_Angeles
BZN;Gallatin Field;45.777.643;-111.160.151;4500;-7;A;America/Denver
C02;Grand Geneva Resort Airport;426.149.167;-883.895.833;835;-6;U;America/Chicago
C16;Frasca Field;40.144.979;-88.200.197;735;-6;A;America/Chicago
C47;Portage Municipal Airport;435.603.136;-894.828.607;825;-6;U;America/Chicago
C65;Plymouth Municipal Airport;413.651.307;-863.002.574;800;-5;A;America/New_York
C89;Sylvania Airport;4.270.325;-879.589.722;785;-6;A;America/Chicago
C91;Dowagiac Municipal Airport;419.929.342;-861.280.125;748;-5;U;America/New_York
CAE;Columbia Metropolitan;33.938.833;-81.119.528;236;-5;A;America/New_York
CAK;Akron Canton Regional Airport;409.160.833;-814.421.944;1228;-5;A;America/New_York
CAR;Caribou Muni;468.715;-68.017.917;626;-5;A;America/New_York
CBE;Greater Cumberland Rgnl.;39.615.278.000.000.000;-78.760.556;775;-5;A;America/New_York
CBM;Columbus Afb;33.643.833;-88.443.833;219;-6;A;America/Chicago
CCO;Coweta County Airport;333.115.656;-847.697.554;970;-5;A;America/New_York
CCR;Buchanan Field Airport;379.896.667;-1.220.568.889;26;-8;A;America/Los_Angeles
CDB;Cold Bay;55.206.061;-162.725.436;96;-9;A;America/Anchorage
CDC;Cedar City Rgnl;37.700.967;-113.098.847;5622;-7;A;America/Denver
CDI;Cambridge Municipal Airport;399.750.278;-815.775.833;799;-5;U;America/New_York
CDK;CedarKey;291.342.222;-830.504.722;11;-5;A;America/New_York
CDN;Woodward Field;342.835.833;-805.648.611;302;-5;A;America/New_York
CDR;Chadron Municipal Airport;428.375;-103.095.556;3297;-7;A;America/Denver
CDS;Childress Muni;34.433.781;-100.287.992;1954;-6;A;America/Chicago
CDV;Merle K Mudhole Smith;60.491.778;-145.477.556;48;-9;A;America/Anchorage
CDW;Caldwell Essex County Airport;408.752.222;-742.813.611;172;-5;A;America/New_York
CEC;Del Norte County Airport;417.802;-124.237;57;-8;A;America/Los_Angeles
CEF;Westover Arb Metropolitan;42.194.014;-72.534.783;241;-5;A;America/New_York
CEM;Central Airport;65.573.889;-144.780.833;937;-9;A;America/Anchorage
CEU;Clemson;346.722.222;-828.858.889;891;-5;A;America/New_York
CEW;Bob Sikes;30.778.833;-86.522.111;213;-6;A;America/Chicago
CEZ;Cortez Muni;37.303;-108.628.056;5918;-7;A;America/Denver
CFD;Coulter Fld;30.715.694;-96.331.361;367;-6;A;America/Chicago
CGA;Craig Seaplane Base;55.478.889;-133.147.778;0;-9;A;America/Anchorage
CGC;Crystal River;288.676.111;-825.741.111;9;-5;A;America/New_York
CGF;Cuyahoga County;41.565.124;-814.863.555;879;-5;A;America/New_York
CGI;Cape Girardeau Regional Airport;372.253;-895.708;342;-6;A;America/Chicago
CGX;Meigs Field;41.860.278;-87.609.722;585;-6;A;America/Chicago
CGZ;Casa Grande Municipal Airport;32.954.889;-111.766.832;1464;-7;U;America/Phoenix
CHA;Lovell Fld;35.035.278;-85.203.808;683;-5;A;America/New_York
CHI;All Airports;41.883.611;-87.631.667;596;-6;A;America/Chicago
CHO;Charlottesville-Albemarle;38.138.639;-78.452.861;639;-5;A;America/New_York
CHS;Charleston Afb Intl;32.898.647;-80.040.528;45;-5;A;America/New_York
CHU;Chuathbaluk Airport;61.579.167;-159.215.556;243;-9;A;America/Anchorage
CIC;Chico Muni;39.795.383;-121.858.422;238;-8;A;America/Los_Angeles
CID;Cedar Rapids;41.884.694;-91.710.806;869;-6;A;America/Chicago
CIK;Chalkyitsik Airport;66.645;-143.74;544;-9;A;America/Anchorage
CIL;Council Airport;64.897.778;-163.703.333;85;-9;A;America/Anchorage
CIU;Chippewa County International Airport;462.508;-844.724;800;-5;A;America/New_York
CKB;Harrison Marion Regional Airport;392.966;-802.281;1217;-5;A;America/New_York
CKD;Crooked Creek Airport;61.867.778;-158.135;178;-9;A;America/Anchorage
CKF;Crisp County Cordele Airport;319.888.333;-837.739.167;310;-5;A;America/New_York
CKV;Clarksville-Montgomery County Regional Airport;36.621.944;-87.415;550;-6;A;America/Chicago
CLC;Clear Lake Metroport;295.569;-95.137.497;35;-6;A;America/Chicago
CLD;McClellan-Palomar Airport;330.742;-1.171.648;328;-8;A;America/Los_Angeles
CLE;Cleveland Hopkins Intl;41.411.689;-81.849.794;791;-5;A;America/New_York
CLL;Easterwood Fld;30.588.583;-96.363.833;321;-6;A;America/Chicago
CLM;William R Fairchild International Airport;481.202;-123.5;291;-8;A;America/Los_Angeles
CLS;Chehalis-Centralia;464.062;-1.225.897;177;-8;A;America/Los_Angeles
CLT;Charlotte Douglas Intl;35.214;-80.943.139;748;-5;A;America/New_York
CLW;Clearwater Air Park;279.764.722;-827.586.667;70;-5;A;America/New_York
CMH;Port Columbus Intl;39.997.972;-82.891.889;815;-5;A;America/New_York
CMI;Champaign;4.003.925;-88.278.056;754;-6;A;America/Chicago
CMX;Houghton County Memorial Airport;471.684;-884.891;1095;-5;A;America/New_York
CNM;Cavern City Air Terminal;32.337.472;-104.263.278;3295;-7;A;America/Denver
CNW;Tstc Waco;31.637.831;-97.074.139;470;-6;A;America/Chicago
CNY;Canyonlands Field;38.755;-109.754.722;4555;-7;A;America/Denver
COD;Yellowstone Rgnl;44.520.194;-109.023.806;5102;-7;A;America/Denver
COE;Pappy Boyington;477.743.056;-1.168.195.833;2320;-8;A;America/Los_Angeles
COF;Patrick Afb;28.234.922;-80.610.125;8;-5;A;America/New_York
COI;Merritt Island Airport;283.416.111;-806.854.722;6;-5;A;America/New_York
CON;Concord Municipal;4.320.267;-7.150.233;342;-5;A;America/New_York
COS;City Of Colorado Springs Muni;38.805.805;-104.700.778;6187;-7;A;America/Denver
COT;Cotulla Lasalle Co;28.456.694;-99.220.294;474;-6;A;America/Chicago
COU;Columbia Rgnl;38.818.094;-92.219.631;889;-6;A;America/Chicago
CPR;Natrona Co Intl;42.908;-106.464.417;5347;-7;A;America/Denver
CPS;St. Louis Downtown Airport;385.707.244;-901.562.211;413;-6;U;America/Chicago
CRE;Grand Strand Airport;3.381.175;-787.239.444;31;-5;A;America/New_York
CRP;Corpus Christi Intl;27.770.361;-97.501.222;44;-6;A;America/Chicago
CRW;Yeager;38.373.147;-81.593.189;981;-5;A;America/New_York
CSG;Columbus Metropolitan Airport;325.163.333;-849.388.611;397;-5;A;America/New_York
CTB;Cut Bank Muni;48.608.353;-112.376.144;3854;-7;A;America/Denver
CTH;Chester County G O Carlson Airport;399.789;-758.654;660;-5;A;America/New_York
CTJ;West Georgia Regional Airport - O V Gray Field;336.316.964;-851.522.641;1165;-5;A;America/New_York
CTY;Cross City;296.355.278;-8.310.475;42;-5;A;America/New_York
CVG;Cincinnati Northern Kentucky Intl;39.048.836;-84.667.822;896;-5;A;America/New_York
CVN;Clovis Muni;34.425.139;-103.079.278;4216;-7;A;America/Denver
CVO;Corvallis Muni;445.067;-1.232.915;250;-8;A;America/Los_Angeles
CVS;Cannon Afb;34.382.775;-103.322.147;4295;-7;A;America/Denver
CVX;Charlevoix Municipal Airport;453.047.778;-852.753.333;669;-5;A;America/New_York
CWA;Central Wisconsin;44.772.726;-89.646.635;840;-6;A;America/Chicago
